#options: 1280x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:70 out:72 type:b dur:2 cpbdur:2 q:30.79 aq:28.77 tex:753 mv:824 misc:839 imb:0 pmb:134 smb:3466 d:s ref:0 ;
in:72 out:73 type:b dur:2 cpbdur:2 q:31.46 aq:30.89 tex:359 mv:429 misc:308 imb:0 pmb:32 smb:3568 d:- ref:0 ;
in:73 out:74 type:b dur:2 cpbdur:2 q:31.80 aq:32.81 tex:496 mv:428 misc:356 imb:0 pmb:34 smb:3566 d:- ref:0 ;
in:79 out:75 type:P dur:2 cpbdur:2 q:31.22 aq:24.73 tex:46772 mv:9195 misc:3345 imb:113 pmb:1622 smb:1865 d:s ref:0 ;
in:76 out:76 type:B dur:2 cpbdur:2 q:31.77 aq:28.30 tex:1452 mv:2930 misc:1418 imb:4 pmb:278 smb:3318 d:s ref:0 ;
in:75 out:77 type:b dur:2 cpbdur:2 q:31.96 aq:33.79 tex:170 mv:147 misc:315 imb:0 pmb:14 smb:3586 d:s ref:0 ;
in:77 out:78 type:b dur:2 cpbdur:2 q:31.59 aq:31.16 tex:307 mv:1324 misc:1057 imb:0 pmb:177 smb:3423 d:- ref:0 ;
in:78 out:79 type:b dur:2 cpbdur:2 q:31.40 aq:31.90 tex:125 mv:928 misc:1083 imb:1 pmb:196 smb:3403 d:- ref:0 ;
in:80 out:80 type:P dur:2 cpbdur:2 q:30.91 aq:24.18 tex:24599 mv:3463 misc:3098 imb:37 pmb:972 smb:2591 d:s ref:0 ;
in:83 out:81 type:P dur:2 cpbdur:2 q:30.75 aq:24.14 tex:34261 mv:6913 misc:3522 imb:81 pmb:1482 smb:2037 d:s ref:0 ;
in:81 out:82 type:B dur:2 cpbdur:2 q:30.86 aq:28.83 tex:288 mv:333 misc:371 imb:0 pmb:28 smb:3572 d:s ref:0 ;
in:82 out:83 type:b dur:2 cpbdur:2 q:30.81 aq:29.64 tex:257 mv:316 misc:355 imb:2 pmb:26 smb:3572 d:- ref:0 ;
